Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
230001105-23F,230001105,1/5/2023,BURGLARY VEHICLE,1/3/2023 18:00,23F,PC 30.04(A) Burglary Vehicle,5800 LINCOLN MEADOWS CT,FORT WORTH,TX,H11,East,4,C,18,18 PARKING LOT/GARAGE,"(32.762057349851524, -97.23259504627201)"
230001067-WAR,230001067,1/4/2023,ROBBERY PERSON,1/4/2023 23:06,WAR,LOCAL Local Class C Warrants,6900 CRAIG ST,FORT WORTH,TX,H14,East,5,C,18,18 PARKING LOT/GARAGE,"(32.73639532541663, -97.21027073227792)"
230001655-13B,230001655,1/7/2023,ASSAULT C,1/7/2023 2:39,13B,GC 088 Assault by Offensive Contact-Class C,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,3,03 BAR/NIGHT CLUB,"(32.68740894175712, -97.32079903844469)"
230001068-13B,230001068,1/4/2023,ASSAULT,1/4/2023 23:10,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,15700 BARTON RIDGE DR,FORT WORTH,TX,F14,North,7,C,20,20 RESIDENCE/HOME,"(33.019134803353744, -97.29610104826908)"
230001715-90Z,230001715,1/7/2023,PENAL CODE,1/5/2023 18:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,2400 SOUTHEAST LOOP 820 FWY,FORT WORTH,TX,I17,South,8,C,18,18 PARKING LOT/GARAGE,"(32.665634485590296, -97.29535321852309)"
230001512-26A,230001512,1/6/2023,FRAUD,1/6/2023 11:29,26A,PC 32.47(e)(5) Fraud/Destroy/Remove/Conc price tag,4100 KELLER HICKS RD,FORT WORTH,TX,E15,North,7,C,41,41 AUTO DEALERSHIP NEW/USED,"(32.938796950914096, -97.27407955679034)"
230001377-290,230001377,1/6/2023,CRIMINAL MISCHIEF,1/5/2023 17:47,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,10700 TALL OAK DR,Fort Worth,TX,L17,West,3,C,20,20 RESIDENCE/HOME,"(32.759040761708015, -97.50990820801043)"
230001716-90Z,230001716,1/7/2023,PENAL CODE,1/6/2023 18:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,2400 SOUTHEAST LOOP 820 FWY,FORT WORTH,TX,I17,South,8,C,18,18 PARKING LOT/GARAGE,"(32.665634485590296, -97.29535321852309)"
230001067-120,230001067,1/4/2023,ROBBERY PERSON,1/4/2023 23:06,120,PC 29.02 Robbery,6900 CRAIG ST,FORT WORTH,TX,H14,East,5,C,18,18 PARKING LOT/GARAGE,"(32.73639532541663, -97.21027073227792)"
230001930-290,230001930,1/8/2023,CRIMINAL MISCHIEF,1/7/2023 19:00,290,PC 28.03(B)(2)  Crim Misc>=$100<$750,10500 MC CART AVE,FORT WORTH,TX,J18,South,6,C,6,06 CONSTRUCTION SITE,"(32.589047117885194, -97.37970761954989)"
230001541-23H,230001541,1/6/2023,THEFT,1/6/2023 17:50,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,8,08 DEPARTMENT/DISCOUNT STORE,"(32.68740894175712, -97.32079903844469)"
230001625-13A,230001625,1/6/2023,DEADLY CONDUCT-SHOOTING,1/6/2023 23:15,13A,PC 22.05(b) Deadly Conduct Discharge Firearm,NORTHEAST LOOP 820 FWY,FORT WORTH,TX,C15,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230001642-90D,230001642,1/7/2023,DWI,1/7/2023 1:21,90D,PC 49.04(D) DWI BAC >= 0.15,2800 DECATUR AVE,FORT WORTH,TX,C12,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.795207008198794, -97.33695904196091)"
230001371-23H,230001371,1/6/2023,THEFT,5/18/2022 14:00,23H,PC 31.03(E)(6)(A) Theft Property >=$100<$200K,3900 STONESHIRE CT,FORT WORTH,TX,D15,Northwest,7,C,20,20 RESIDENCE/HOME,"(32.873263377417864, -97.44415684874906)"
230001129-23H,230001129,1/5/2023,THEFT,1/5/2023 2:00,23H,GC 085-08 Theft of Service under $100,200 W RENDON CROWLEY RD,FORT WORTH,TX,I19,South,6,C,21,21 RESTAURANT,"(32.577559381253444, -97.32369633404339)"
230001067-90Z,230001067,1/4/2023,ROBBERY PERSON,1/4/2023 23:06,90Z,CCP 62.10(B)(2) FAIL TO COMPLY SEX OFF DUTY TO REG,6900 CRAIG ST,FORT WORTH,TX,H14,East,5,C,18,18 PARKING LOT/GARAGE,"(32.73639532541663, -97.21027073227792)"
230002688-90Z,230002688,1/11/2023,PENAL CODE,1/11/2023 1:15,90Z,GC 080 Public Intoxication,NW 27TH ST & CLINTON AVE,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230002002-90J,230002002,1/8/2023,CRIMINAL TRESPASS,1/8/2023 16:00,90J,PC 30.05(d)(1) Criminal Trespass,2800 HANNA AVE,FORT WORTH,TX,D11,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.79626759718186, -97.37182695717307)"
230000791-13A,230000791,1/3/2023,AG ASSAULT,1/3/2023 22:54,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,1500 SANDY LN,FORT WORTH,TX,H15,East,5,C,20,20 RESIDENCE/HOME,"(32.756615944119325, -97.19846224065931)"
230001997-240,230001997,1/8/2023,AUTO THEFT,1/8/2023 15:40,240,PC 31.03(E)(5) AUTO Theft>=$20k<$100k (Auto theft),1100 BLUE MOUND RD W,FORT WORTH,TX,F15,North,7,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.94639703926839, -97.38561650157915)"
230002830-23H,230002830,1/11/2023,FRAUD,11/12/2022 9:00,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,4100 JENNY LAKE TRL,FORT WORTH,TX,E14,North,4,C,20,20 RESIDENCE/HOME,"(32.897261599820794, -97.29899694818593)"
230003078-220,230003078,1/12/2023,BURGLARY COMMERCIAL,12/26/2022 0:01,220,PC 30.02(C)(1) Burglary of building,4900 BRENTWOOD STAIR RD,FORT WORTH,TX,G13,East,8,C,19,19 RENTAL STORAGE FACILITY,"(32.75852628975769, -97.24780866541775)"
230003011-220,230003011,1/12/2023,BURGLARY COMMERCIAL,1/12/2023 3:15,220,PC 30.02(C)(1) Burglary of building,3000 TOWNSEND DR,FORT WORTH,TX,K11,West,9,C,25,25 OTHER/UNKNOWN,"(32.707382765456565, -97.34908621064487)"
230310281-23C,230310281,1/5/2023,THEFT,1/3/2023 17:40,23C,PC 31.03(e)(3) Theft Property >= $750-$2500 Shopli,4600 S HULEN ST,FORT WORTH,TX,K18,West,6,C,8,08 DEPARTMENT/DISCOUNT STORE,"(32.680039723645535, -97.39342637414812)"
230002221-220,230002221,1/9/2023,BURGLARY COMMERCIAL,1/9/2023 9:00,220,PC 30.02(C)(1) Burglary of building,3500 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,14,14 HOTEL/MOTEL/ETC.,"(32.698286425229, -97.32077644656033)"
230003599-220,230003599,1/14/2023,BURGLARY COMMERCIAL,1/14/2023 15:36,220,PC 30.02(C)(1) Burglary of building,2900 STANLEY AVE,FORT WORTH,TX,K11,West,9,C,20,20 RESIDENCE/HOME,"(32.709529274730265, -97.34595103696391)"
230002292-13B,230002292,1/9/2023,ASSAULT,1/9/2023 16:27,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,12300 KERRISON WAY,FORT WORTH,TX,I19,South,6,C,20,20 RESIDENCE/HOME,"(32.578492649238825, -97.32825286930084)"
230310236-23H,230310236,1/4/2023,THEFT,1/4/2023 9:50,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,2200 HIGHWAY 114,FORT WORTH,TX,F13,North,7,C,19,19 RENTAL STORAGE FACILITY,"(33.03095318842324, -97.31492521636207)"
230002800-23F,230002800,1/11/2023,BURGLARY VEHICLE,1/10/2023 21:00,23F,PC 30.04(A) Burglary Vehicle,7300 HARRIS PKWY,FORT WORTH,TX,K19,West,6,C,18,18 PARKING LOT/GARAGE,"(32.64278662182798, -97.41992192040486)"
230310199-290,230310199,1/3/2023,CRIMINAL MISCHIEF,1/1/2023 14:32,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,11700 CLOVERIDGE DR,FORT WORTH,TX,F11,North,7,C,20,20 RESIDENCE/HOME,"(32.94377640049106, -97.27600732304731)"
230310316-290,230310316,1/5/2023,CRIMINAL MISCHIEF,1/1/2023 0:00,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,9500 COURTRIGHT DR,FORT WORTH,TX,E14,North,4,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.912751482392125, -97.30272646031807)"
230002636-90Z,230002636,1/10/2023,PUBLIC INTOXICATION,1/10/2023 19:42,90Z,GC 080 Public Intoxication,2400 N MAIN ST,FORT WORTH,TX,C11,Northwest,2,C,21,21 RESTAURANT,"(32.789079548334904, -97.34908123365112)"
230310330-290,230310330,1/5/2023,CRIMINAL MISCHIEF,1/4/2023 21:50,290,GC 039 Criminal Mischief under $100/Subst Inconven,2400 GUTIERREZ DR,FORT WORTH,TX,F17,North,7,C,20,20 RESIDENCE/HOME,"(32.907713907668686, -97.32448838818496)"
230310417-23F,230310417,1/7/2023,THEFT FROM VEHICLE,1/7/2023 0:15,23F,PC 30.04(A) Burglary Vehicle,100 N BAILEY AVE,FORT WORTH,TX,C16,Northwest,7,C,18,18 PARKING LOT/GARAGE,"(32.759751362083044, -97.37030262533662)"
230002499-23F,230002499,1/10/2023,BURGLARY VEHICLE,1/9/2023 21:30,23F,PC 30.04(A) Burglary Vehicle,6800 NORTH FWY,FORT WORTH,TX,E12,North,4,C,18,18 PARKING LOT/GARAGE,"(32.864403587519824, -97.31473825687776)"
230310304-23F,230310304,1/5/2023,THEFT,1/4/2023 17:30,23F,PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k- st,900 SPANISH NEEDLE TRL,FORT WORTH,TX,F17,North,7,C,18,18 PARKING LOT/GARAGE,"(32.915760963759354, -97.34702166868837)"
230003774-90F,230003774,1/15/2023,ASSAULT CHILD,1/8/2023 21:00,90F,PC 22.041(C) Aband/End child crim negligence,2900 ROLLING PLAINS LN,FORT WORTH,TX,B18,Central,8,C,20,20 RESIDENCE/HOME,"(32.70848757471358, -97.28384646033804)"
230310252-90Z,230310252,1/4/2023,DUMPING,12/27/2022 17:07,90Z,HSC 365.012(E) Illegal Dumping >5 lbs<500 lbs,300 NE 34TH ST,FORT WORTH,TX,C14,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.8069290367363, -97.34935181966209)"
230002251-200,230002251,1/9/2023,ARSON,1/9/2023 10:00,200,PC 28.02(D) Arson Habit/Worship/Injury,8100 MONTERRA VILLA TRL,FORT WORTH,TX,E14,North,4,C,20,20 RESIDENCE/HOME,"(32.892892678644216, -97.3122646056148)"
230003120-35A,230003120,1/12/2023,NARCOTIC VIOLATIONS,1/12/2023 16:57,35A,HSC 481.115(b) POSS CS PG 1/1-B <1G,2600 NW 28TH ST,FORT WORTH,TX,D11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7979342215882, -97.37476093437823)"
230002370-13B,230002370,1/10/2023,ASSAULT,1/10/2023 0:17,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,3500 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,14,14 HOTEL/MOTEL/ETC.,"(32.698286425229, -97.32077644656033)"
230002688-520,230002688,1/11/2023,PENAL CODE,1/11/2023 1:15,520,PC 46.02(B) Unl Carrying Weapon / UCW,NW 27TH ST & CLINTON AVE,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230310313-23H,230310313,1/5/2023,THEFT,11/5/2022 12:50,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,JOHN T WHITE RD,FORT WORTH,TX,H12,East,5,C,19,19 RENTAL STORAGE FACILITY,
230000357-WAR,230000357,1/2/2023,TRAFFIC CODE,1/2/2023 12:46,WAR,OT WARRANT Out of Town Warrant,2300 ELLIS AVE,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230005385-210,230005385,1/21/2023,THEFT,12/18/2022 6:21,210,PC 31.03 Extortion / Blackmail / Theft,2200 GUTIERREZ DR,FORT WORTH,TX,F17,North,7,C,20,20 RESIDENCE/HOME,"(32.90836146790604, -97.3280489058141)"
230310587-23F,230310587,1/11/2023,THEFT RECYCLE,1/11/2023 18:35,23F,PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k- st,2700 SHELTER GROVE RD,FORT WORTH,TX,E11,North,2,C,20,20 RESIDENCE/HOME,"(32.857876872807786, -97.32126641782844)"
230310740-23F,230310740,1/20/2023,BURGLARY VEHICLE,1/20/2023 3:58,23F,PC 30.04(A) Burglary Vehicle,100 E ALTAMESA BLVD,FORT WORTH,TX,I17,South,8,C,14,14 HOTEL/MOTEL/ETC.,"(32.653235182842906, -97.32035076058979)"
230005454-90Z,230005454,1/21/2023,HARASS,11/21/2022 0:00,90Z,PC 42.07(C) Harassment,5900 CLIPPER LN,FORT WORTH,TX,D15,Northwest,7,C,20,20 RESIDENCE/HOME,"(32.881586231680146, -97.41496066068008)"
230310458-23F,230310458,1/9/2023,THEFT,1/9/2023 10:25,23F,PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k- st,900 SPANISH NEEDLE TRL,FORT WORTH,TX,F17,North,7,C,20,20 RESIDENCE/HOME,"(32.915760963759354, -97.34702166868837)"
230005658-290,230005658,1/22/2023,CRIMINAL MISCHIEF,1/20/2023 22:00,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,1700 GALVESTON AVE,FORT WORTH,TX,B16,Central,9,C,7,07 CONVENIENCE STORE,"(32.725892168457314, -97.32733418310157)"
230005585-13B,230005585,1/22/2023,ASSAULT,1/22/2023 0:00,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,21,21 RESTAURANT,"(32.68740894175712, -97.32079903844469)"
230004824-220,230004824,1/19/2023,BURGLARY RESIDENTIAL,1/19/2023 5:35,220,PC 30.02(C)(2) Burglary Habitation,7500 SIENNA DR,FORT WORTH,TX,J16,South,6,C,20,20 RESIDENCE/HOME,"(32.631532591290124, -97.39107058785298)"
230005600-90Z,230005600,1/22/2023,PENAL CODE,1/20/2023 20:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,4200 LITTLEJOHN AVE,FORT WORTH,TX,G15,East,5,C,20,20 RESIDENCE/HOME,"(32.719745889326276, -97.26136759805739)"
230004847-240,230004847,1/19/2023,AUTO THEFT,1/19/2023 7:19,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,3300 RUNNELS ST,FORT WORTH,TX,C12,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.803141775339796, -97.3278875124808)"
230004091-220,230004091,1/16/2023,BURGLARY COMMERCIAL,1/16/2023 15:09,220,PC 30.02(C)(1) Burglary of building,1100 MARTIN LUTHER KING FWY,FORT WORTH,TX,B13,Central,8,C,21,21 RESTAURANT,"(32.73493228104585, -97.29835071645617)"
230005301-23H,230005301,1/20/2023,THEFT,1/18/2023 15:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,5600 WHEATON DR,FORT WORTH,TX,J14,South,6,C,20,20 RESIDENCE/HOME,"(32.666020180532726, -97.38931205919981)"
230004978-23F,230004978,1/19/2023,BURGLARY VEHICLE,1/19/2023 4:00,23F,PC 30.04(A) Burglary Vehicle,3500 STONE CREEK LN S,FORT WORTH,TX,E11,North,4,C,20,20 RESIDENCE/HOME,"(32.859834301435605, -97.30625086789874)"
230003978-120,230003978,1/16/2023,ROBBERY BUSINESS,1/16/2023 2:13,120,PC 29.03 Agg Robbery,2500 SOUTHWEST LOOP 820 FWY,FORT WORTH,TX,J13,South,9,C,7,07 CONVENIENCE STORE,"(32.66839577820118, -97.35547932356252)"
230310519-23H,230310519,1/10/2023,THEFT,12/8/2022 12:40,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,2700 LYNX LN,FORT WORTH,TX,F11,North,7,C,25,25 OTHER/UNKNOWN,"(32.946824370088926, -97.30118279454841)"
230310666-23H,230310666,1/12/2023,THEFT,1/12/2023 22:24,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,7900 DAYSTAR DR,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.627638002833564, -97.40408756272987)"
230003865-23F,230003865,1/15/2023,THEFT RECYCLE,1/14/2023 17:00,23F,PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k- st,6200 SANDSHELL DR,FORT WORTH,TX,E11,North,4,C,18,18 PARKING LOT/GARAGE,"(32.856186073496986, -97.31122904995766)"
230004173-13B,230004173,1/16/2023,ASSAULT CHILD,1/16/2023 22:36,13B,PC 22.04(E) Injury Child/Eld/Disab Reck SB/Men,600 NW LORAINE ST,FORT WORTH,TX,D11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.79643125042125, -97.35554281117048)"
230310619-290,230310619,1/12/2023,CRIMINAL MISCHIEF,1/4/2023 18:00,290,PC 28.03(B)(3)(A) 2015 Crim Misch>=$750<$2500,1800 HANDLEY EDERVILLE RD,FORT WORTH,TX,H16,East,4,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.784944023896706, -97.22137533323577)"
230310635-23F,230310635,1/19/2023,THEFT RECYCLE,1/12/2023 0:00,23F,PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k- st,2700 SHELTER GROVE RD,FORT WORTH,TX,E11,North,2,C,20,20 RESIDENCE/HOME,"(32.857876872807786, -97.32126641782844)"
230004849-290,230004849,1/19/2023,CRIMINAL MISCHIEF,1/18/2023 17:00,290,PC 28.03(B)(3)(A) 2015 Crim Misch>=$750<$2500,2500 MANSFIELD HWY,FORT WORTH,TX,I12,South,8,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.688890048290695, -97.29272609553648)"
230005602-23H,230005602,1/21/2023,THEFT,1/21/2023 17:24,23H,PC 31.03(E)(4)(C) Theft of Firearm,10900 ABBEYGLEN CT,FORT WORTH,TX,F16,North,7,C,25,25 OTHER/UNKNOWN,"(32.92707590689438, -97.36293963149069)"
230310729-23H,230310729,1/14/2023,THEFT,12/25/2022 21:35,23H,GC  085-07 Theft under $100,2200 PACINO DR,FORT WORTH,TX,I18,South,8,C,20,20 RESIDENCE/HOME,"(32.628780759820174, -97.35197069343937)"
230004812-90Z,230004812,1/19/2023,PUBLIC INTOXICATION,1/19/2023 3:30,90Z,GC 080 Public Intoxication,3500 CAMP BOWIE BLVD,FORT WORTH,TX,K13,West,7,C,52,52 SCHOOL-COLLEGE/UNIVERSITY,"(32.748605452265416, -97.36821568751084)"
230005362-13B,230005362,1/21/2023,ASSAULT,1/21/2023 1:01,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,BURNETT ST & W 5TH ST,FORT WORTH,TX,A16,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,
230005591-13B,230005591,1/22/2023,ASSAULT,1/22/2023 4:54,13B,PC 22.01(b)(8) ASSAULT OF PREGNANT PERSON (Simple,5000 ROYAL DR,FORT WORTH,TX,L14,West,3,C,20,20 RESIDENCE/HOME,"(32.700020615724966, -97.44805907755719)"
230005389-23F,230005389,1/21/2023,BURGLARY VEHICLE,1/20/2023 0:01,23F,PC 30.04(A) Burglary Vehicle,7900 REGENCY LN,FORT WORTH,TX,I18,South,8,C,20,20 RESIDENCE/HOME,"(32.63516597385297, -97.32639050227985)"
230004698-23F,230004698,1/18/2023,THEFT RECYCLE,1/18/2023 12:45,23F,PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k- st,2400 OAK HILL CIR,FORT WORTH,TX,K15,West,3,C,20,20 RESIDENCE/HOME,"(32.715086145910135, -97.38169953942338)"
230310641-23H,230310641,1/12/2023,THEFT,1/11/2023 10:44,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,300 THROCKMORTON ST,FORT WORTH,TX,A15,Central,9,C,25,25 OTHER/UNKNOWN,"(32.755010410566776, -97.33368981093723)"
230004332-13B,230004332,1/17/2023,ASSAULT,1/17/2023 11:46,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,CAMP BOWIE BLVD,FORT WORTH,TX,L14,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,
230310664-26B,230310664,1/13/2023,FRAUD,1/9/2023 14:00,26B,PC 32.31 Credit/Debit Card Abuse,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,52,52 SCHOOL-COLLEGE/UNIVERSITY,"(32.68740894175712, -97.32079903844469)"
230005338-240,230005338,1/21/2023,AUTO THEFT,1/21/2023 0:40,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,6800 SOUTH CREEK DR,FORT WORTH,TX,J17,South,8,C,20,20 RESIDENCE/HOME,"(32.64481465706384, -97.3617102959943)"
230002645-23F,230002645,1/10/2023,BURGLARY VEHICLE,1/9/2023 21:00,23F,PC 30.04(A) Burglary Vehicle,14200 FAA BLVD,FORT WORTH,TX,H17,East,5,C,18,18 PARKING LOT/GARAGE,
230007165-13B,230007165,1/28/2023,ASSAULT,1/27/2023 22:17,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,SUFFOLK DR,FORT WORTH,TX,J12,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,
230310950-23H,230310950,1/19/2023,THEFT,1/18/2023 20:49,23H,PC 31.03(E)(5)  2015 Theft>=$30k<$150k,CAMPUS DR/MANSFIELD HWY,FORT WORTH,TX,I13,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230006571-120,230006571,1/25/2023,ROBBERY PERSON,1/25/2023 19:43,120,PC 29.03 Agg Robbery,11700 VIENNA APPLE RD,FORT WORTH,TX,F11,North,7,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.942056223059076, -97.27991912983002)"
230005937-40A,230005937,1/23/2023,PROSTITUTION,1/23/2023 15:35,40A,PC 43.02(c) Prostitution,2400 TANDY AVE,FORT WORTH,TX,G11,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.745171829392014, -97.27646118832979)"
230310904-290,230310904,1/18/2023,CRIMINAL MISCHIEF,1/16/2023 14:30,290,PC 28.03(B)(2)  Crim Misc>=$100<$750,5000 OVERTON RIDGE CIR,FORT WORTH,TX,K18,West,6,C,20,20 RESIDENCE/HOME,"(32.676476447837935, -97.40445201625559)"
230006013-90Z,230006013,1/23/2023,PENAL CODE,1/23/2023 15:30,90Z,PC 38.04(b)(2)(A) Evading Arrest Detention w/vehic,3400 AVE L,FORT WORTH,TX,G12,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.725268086193736, -97.27643070498489)"
230006822-13B,230006822,1/25/2023,ASSAULT,1/25/2023 0:50,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,0 W IH  FWY & BRYANT IRVIN RD,FORT WORTH,TX,K19,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,
230310991-23F,230310991,1/20/2023,BURGLARY VEHICLE,1/19/2023 19:20,23F,PC 30.04(A) Burglary Vehicle,9700 LACEY LN,FORT WORTH,TX,E14,North,4,C,20,20 RESIDENCE/HOME,"(32.917056249987816, -97.29793992651301)"
230006020-26B,230006020,1/23/2023,FRAUD,1/23/2023 12:00,26B,PC 32.315(e)(4) Fraud Poss/Use Credit or Debit Car,2800 THORSON LN,FORT WORTH,TX,L15,West,3,C,8,08 DEPARTMENT/DISCOUNT STORE,"(32.732139828601326, -97.45543861519208)"
